SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BRNL,BRNL.NS,Bharat Road Network Limited,EQ,18-Sep-17,10,1,INE727S01012,10
BROOKS,BROOKS.NS,Brooks Laboratories Limited,BE,5-Sep-11,10,1,INE650L01011,10
BSE,BSE.NS,BSE Limited,EQ,3-Feb-17,2,1,INE118H01025,2
BSHSL,BSHSL.NS,Bombay Super Hybrid Seeds Limited,EQ,28-Oct-20,1,1,INE032Z01020,1
BSL,BSL.NS,BSL Limited,EQ,27-Jul-95,10,1,INE594B01012,10
BSOFT,BSOFT.NS,BIRLASOFT LIMITED,EQ,24-Nov-99,2,1,INE836A01035,2
BTML,BTML.NS,Bodhi Tree Multimedia Limited,BE,15-Feb-23,1,1,INE0EEJ01023,1
BURNPUR,BURNPUR.NS,Burnpur Cement Limited,BE,3-Jan-08,10,1,INE817H01014,10
BUTTERFLY,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,10,1,INE295F01017,10
BVCL,BVCL.NS,Barak Valley Cements Limited,EQ,23-Nov-07,10,1,INE139I01011,10
BYKE,BYKE.NS,The Byke Hospitality Ltd,BE,15-Apr-15,10,1,INE319B01014,10
CALSOFT,CALSOFT.NS,California Software Company Limited,BE,28-Jun-00,10,1,INE526B01014,10
CAMLINFINE,CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ,20-Jan-15,1,1,INE052I01032,1
CAMPUS,CAMPUS.NS,Campus Activewear Limited,EQ,9-May-22,5,1,INE278Y01022,5
CAMS,CAMS.NS,Computer Age Management Services Limited,EQ,7-May-21,10,1,INE596I01012,10
CANBK,CANBK.NS,Canara Bank,EQ,23-Dec-02,2,1,INE476A01022,2
CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited,EQ,10-May-95,2,1,INE477A01020,2
CANTABIL,CANTABIL.NS,Cantabil Retail India Limited,EQ,12-Oct-10,2,1,INE068L01024,2
CAPACITE,CAPACITE.NS,Capacit'e Infraprojects Limited,EQ,25-Sep-17,10,1,INE264T01014,10
CAPITALSFB,CAPITALSFB.NS,Capital Small Finance Bank Limited,EQ,14-Feb-24,10,1,INE646H01017,10
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ,23-Jun-14,2,1,INE475E01026,2
CAPTRUST,CAPTRUST.NS,Capital Trust Limited,BE,16-Jan-17,10,1,INE707C01018,10
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited,EQ,3-Apr-96,1,1,INE120A01034,1
CAREERP,CAREERP.NS,Career Point Limited,BE,6-Oct-10,10,1,INE521J01018,10
CARERATING,CARERATING.NS,CARE Ratings Limited,EQ,26-Dec-12,10,1,INE752H01013,10
CARTRADE,CARTRADE.NS,Cartrade Tech Limited,EQ,20-Aug-21,10,1,INE290S01011,10
CARYSIL,CARYSIL.NS,CARYSIL LIMITED,EQ,14-Jan-21,2,1,INE482D01024,2
CASTROLIND,CASTROLIND.NS,Castrol India Limited,EQ,14-Mar-14,5,1,INE172A01027,5
CCCL,CCCL.NS,Consolidated Construction Consortium Limited,BE,15-Oct-07,2,1,INE429I01024,2
CCHHL,CCHHL.NS,Country Club Hospitality & Holidays Limited,BE,3-Feb-15,2,1,INE652F01027,2
CCL,CCL.NS,CCL Products (India) Limited,EQ,7-Jun-04,2,1,INE421D01022,2
CDSL,CDSL.NS,Central Depository Services (India) Limited,EQ,30-Jun-17,10,1,INE736A01011,10
CEATLTD,CEATLTD.NS,CEAT Limited,EQ,1-Feb-08,10,1,INE482A01020,10
CEIGALL,CEIGALL.NS,Ceigall India Limited,EQ,8-Aug-24,5,1,INE0AG901020,5
CELEBRITY,CELEBRITY.NS,Celebrity Fashions Limited,EQ,12-Jan-06,10,1,INE185H01016,10
CELLO,CELLO.NS,Cello World Limited,EQ,6-Nov-23,5,1,INE0LMW01024,5
CENTENKA,CENTENKA.NS,Century Enka Limited,EQ,10-May-95,10,1,INE485A01015,10
CENTEXT,CENTEXT.NS,Century Extrusions Limited,BE,20-Jul-04,1,1,INE281A01026,1
CENTRALBK,CENTRALBK.NS,Central Bank of India,EQ,21-Aug-07,10,1,INE483A01010,10
CENTRUM,CENTRUM.NS,Centrum Capital Limited,EQ,4-Apr-18,1,1,INE660C01027,1
CENTUM,CENTUM.NS,Centum Electronics Limited,EQ,5-Oct-07,10,1,INE320B01020,10
CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited,EQ,23-Mar-06,1,1,INE348B01021,1
CENTURYTEX,CENTURYTEX.NS,Century Textiles & Industries Limited,EQ,27-Jun-03,10,1,INE055A01016,10
CERA,CERA.NS,Cera Sanitaryware Limited,EQ,2-Nov-07,5,1,INE739E01017,5
CEREBRAINT,CEREBRAINT.NS,Cerebra Integrated Technologies Limited,BE,26-Jun-13,10,1,INE345B01019,10
CESC,CESC.NS,CESC Limited,EQ,8-Feb-95,1,1,INE486A01021,1
CGCL,CGCL.NS,Capri Global Capital Limited,EQ,29-Oct-10,1,1,INE180C01042,1
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,EQ,1-Mar-95,2,1,INE067A01029,2
CHALET,CHALET.NS,Chalet Hotels Limited,EQ,7-Feb-19,10,1,INE427F01016,10
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-95,10,1,INE085A01013,10
